Ticker,Year,Quarter,Maturity_Score,Exploring_Pct,Committing_Pct,Deploying_Pct,Scaling_Pct
STT,2025,3,75.0,25.0,0.0,25.0,50.0
STT,2025,4,58.33,40.0,6.7,33.3,20.0
SYF,2024,2,75.0,0.0,0.0,100.0,0.0
SYF,2024,4,75.0,33.3,0.0,0.0,66.7
SYF,2025,2,62.5,16.7,16.7,66.7,0.0
SYF,2025,4,75.0,13.3,13.3,33.3,40.0
TFC,2023,4,81.25,0.0,0.0,75.0,25.0
TFC,2024,1,65.62,25.0,12.5,37.5,25.0
TFC,2024,2,25.0,100.0,0.0,0.0,0.0
TFC,2024,3,41.67,66.7,0.0,33.3,0.0
TFC,2024,4,65.38,30.8,0.0,46.2,23.1
TFC,2025,2,25.0,100.0,0.0,0.0,0.0
TFC,2025,3,25.0,100.0,0.0,0.0,0.0
TFC,2025,4,60.0,40.0,20.0,0.0,40.0
UMBF,2023,4,75.0,0.0,0.0,100.0,0.0
UMBF,2024,2,37.5,50.0,50.0,0.0,0.0
UMBF,2024,4,75.0,0.0,0.0,100.0,0.0
USB,2024,2,25.0,100.0,0.0,0.0,0.0
USB,2024,4,62.5,25.0,0.0,75.0,0.0
USB,2025,1,45.0,40.0,40.0,20.0,0.0
USB,2025,2,29.17,83.3,16.7,0.0,0.0
USB,2025,4,50.0,33.3,33.3,33.3,0.0
VLY,2023,4,66.67,33.3,0.0,33.3,33.3
VLY,2024,1,75.0,0.0,0.0,100.0,0.0
VLY,2024,2,75.0,0.0,0.0,100.0,0.0
VLY,2024,3,30.0,80.0,20.0,0.0,0.0
VLY,2024,4,67.5,30.0,0.0,40.0,30.0
VLY,2025,2,75.0,33.3,0.0,0.0,66.7
VLY,2025,3,100.0,0.0,0.0,0.0,100.0
VLY,2025,4,33.33,66.7,33.3,0.0,0.0
WAL,2024,2,81.25,0.0,0.0,75.0,25.0
WAL,2024,4,86.11,0.0,0.0,55.6,44.4
WAL,2025,2,25.0,100.0,0.0,0.0,0.0
WAL,2025,3,75.0,0.0,0.0,100.0,0.0
WAL,2025,4,50.0,50.0,0.0,50.0,0.0
WBS,2023,4,50.0,50.0,0.0,50.0,0.0
WBS,2024,1,62.5,25.0,0.0,75.0,0.0
WBS,2024,2,62.5,37.5,0.0,37.5,25.0
WBS,2024,3,25.0,100.0,0.0,0.0,0.0
WBS,2024,4,60.42,33.3,8.3,41.7,16.7
WBS,2025,1,37.5,50.0,50.0,0.0,0.0
WBS,2025,2,47.22,55.6,11.1,22.2,11.1
WBS,2025,3,50.0,0.0,100.0,0.0,0.0
WFC,2024,2,83.33,16.7,0.0,16.7,66.7
WFC,2024,4,75.0,0.0,0.0,100.0,0.0
WFC,2025,2,60.0,40.0,20.0,0.0,40.0
WFC,2025,3,25.0,100.0,0.0,0.0,0.0
WFC,2025,4,25.0,100.0,0.0,0.0,0.0
WTFC,2024,2,59.38,37.5,12.5,25.0,25.0
WTFC,2024,3,100.0,0.0,0.0,0.0,100.0
WTFC,2024,4,54.17,50.0,0.0,33.3,16.7
ZION,2023,2,75.0,0.0,0.0,100.0,0.0
ZION,2023,3,75.0,0.0,0.0,100.0,0.0
ZION,2023,4,50.0,33.3,33.3,33.3,0.0
ZION,2024,1,62.5,50.0,0.0,0.0,50.0
ZION,2024,2,62.5,50.0,0.0,0.0,50.0
ZION,2024,3,62.5,50.0,0.0,0.0,50.0
ZION,2024,4,55.0,40.0,20.0,20.0,20.0
ZION,2025,1,100.0,0.0,0.0,0.0,100.0
ZION,2025,2,66.67,16.7,16.7,50.0,16.7
ZION,2025,3,75.0,0.0,0.0,100.0,0.0
ZION,2025,4,37.5,66.7,16.7,16.7,0.0
