ticker,bank_name,source_type,form_type,period_year,period_quarter,period_label,expected_doc_count,observed_doc_count,status,status_detail,storage_kind,local_refs,source_urls,manual_search_hint,notes
ALLY,Ally Financial Inc.,sec_filing,8-K,2020,4,2020_Q4,5,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072920000034/ally-20201105.htm | https://www.sec.gov/Archives/edgar/data/40729/000004072920000039/ally-20201116.htm | https://www.sec.gov/Archives/edgar/data/40729/000004072920000042/ally-20201211.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520270711/d90567d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312520309053/d71911d8k.htm,ALLY 8-K 2020 Q4,
ALLY,Ally Financial Inc.,sec_filing,8-K,2021,1,2021_Q1,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072921000002/ally-20210112.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521014149/d36351d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521083996/d158825d8k.htm,ALLY 8-K 2021 Q1,
ALLY,Ally Financial Inc.,sec_filing,8-K,2021,2,2021_Q2,9,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072921000015/ally-20210504.htm | https://www.sec.gov/Archives/edgar/data/40729/000004072921000021/ally-20210616.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521118498/d167606d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521121405/d95431d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521125997/d100453d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521126798/d178482d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521172460/d180428d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521179445/d344249d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521179929/d135050d8k.htm,ALLY 8-K 2021 Q2,
ALLY,Ally Financial Inc.,sec_filing,8-K,2021,3,2021_Q3,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072921000025/ally-20210713.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521219142/d180749d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521273610/d228936d8k.htm,ALLY 8-K 2021 Q3,
ALLY,Ally Financial Inc.,sec_filing,8-K,2021,4,2021_Q4,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312521300113/d296025d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521303545/d188817d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312521316623/d250574d8k.htm,ALLY 8-K 2021 Q4,
ALLY,Ally Financial Inc.,sec_filing,8-K,2022,1,2022_Q1,2,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072922000002/ally-20220111.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312522014367/d299696d8k.htm,ALLY 8-K 2022 Q1,
ALLY,Ally Financial Inc.,sec_filing,8-K,2022,2,2022_Q2,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072922000013/ally-20220503.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312522105007/d338088d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312522170952/d361272d8k.htm,ALLY 8-K 2022 Q2,
ALLY,Ally Financial Inc.,sec_filing,8-K,2022,3,2022_Q3,1,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312522196619/d370965d8k.htm,ALLY 8-K 2022 Q3,
ALLY,Ally Financial Inc.,sec_filing,8-K,2022,4,2022_Q4,4,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312522264156/d414676d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312522264901/d389854d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312522285500/d407222d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312522301790/d428552d8k.htm,ALLY 8-K 2022 Q4,
ALLY,Ally Financial Inc.,sec_filing,8-K,2023,1,2023_Q1,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312523011484/d441526d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523035491/d313107d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523078619/d468412d8k.htm,ALLY 8-K 2023 Q1,
ALLY,Ally Financial Inc.,sec_filing,8-K,2023,2,2023_Q2,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072923000016/ally-20230503.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523105689/d466942d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523165831/d517114d8k.htm,ALLY 8-K 2023 Q2,
ALLY,Ally Financial Inc.,sec_filing,8-K,2023,3,2023_Q3,2,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072923000025/ally-20230801.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523189215/d508671d8k.htm,ALLY 8-K 2023 Q3,
ALLY,Ally Financial Inc.,sec_filing,8-K,2023,4,2023_Q4,5,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312523253898/d513806d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523258069/d564794d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523284288/d486214d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523293976/d658256d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312523295257/d206925d8k.htm,ALLY 8-K 2023 Q4,
ALLY,Ally Financial Inc.,sec_filing,8-K,2024,1,2024_Q1,4,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072924000006/ally-20240305.htm | https://www.sec.gov/Archives/edgar/data/40729/000095010324004448/dp208986_8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524010239/d650548d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524010758/d691923d8k.htm,ALLY 8-K 2024 Q1,
