ticker,bank_name,workstream,cluster,rating,current_score
STT,State Street Corp,risk_resilience,Risk Watch,2,30.573979591836732
SYF,Synchrony Financial,risk_resilience,Risk Resilient,4,68.04846938775509
TFC,Truist Financial Corp,risk_resilience,Risk Resilient,3,44.09438775510204
UMBF,Umb Financial Corp,risk_resilience,Risk Resilient,3,51.06505102040816
USB,Us Bancorp \De\,risk_resilience,Risk Watch,2,38.78826530612245
VLY,Valley National Bancorp,risk_resilience,Risk Watch,2,38.673469387755105
WAL,Western Alliance Bancorporation,risk_resilience,Risk Watch,3,40.75255102040817
WBS,Webster Financial Corp,risk_resilience,Risk Resilient,3,58.798894557823125
WFC,Wells Fargo & Company/Mn,risk_resilience,Risk Resilient,3,50.51020408163266
WTFC,Wintrust Financial Corp,risk_resilience,Risk Resilient,5,82.44260204081633
ZION,"Zions Bancorporation, National Association",risk_resilience,Risk Resilient,3,47.51700680272109
