bank_name,ticker,ai_current_period_label,ai_latest_value,ai_trailing_4q_value,ai_avg_breadth,ai_momentum,ai_avg_execution_share,ai_current_score,ai_current_rating,private_credit_current_period_label,private_credit_latest_value,private_credit_trailing_4q_value,private_credit_avg_breadth,private_credit_momentum,private_credit_avg_source_breadth,private_credit_current_score,private_credit_current_rating,risk_current_period_label,risk_current_score,risk_current_rating,ROA,ROE,NIMY,equity_assets_ratio,NCLNLSR,commercial_loan_90_plus_dpd_rate,nondepository_requested_rate,ASSET
"Cullen/Frost Bankers, Inc.",CFR,2025_Q4,40.0,40.0,0.25,40.0,0.1875,32.561326658322905,2,2025_Q4,1.0,7.2,1.0,1.0,0.5,49.47564102564103,3,2025_Q4,59.66836734693877,3,1.2643509572478149,15.85,3.616766219245403,8.54754885031574,0.4209427515208539,0.0005213349630224687,0.0004157012690494579,53127804.0
Comerica Inc,CMA,2025_Q4,0.0,105.0,0.75,-65.0,0.42115384615384616,30.03617021276596,2,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,48.81377551020408,3,0.9847459915869825,11.53,3.369611967676791,9.041622945085695,0.5046736312936926,0.003592276605298608,0.0,80052000.0
Capital One Financial Corp,COF,2025_Q4,307.0,612.0,2.0,260.0,0.7597471793646404,94.97872340425532,5,2025_Q4,0.0,4.0,0.25,0.0,0.25,23.62307692307692,2,2025_Q4,36.817602040816325,2,0.5450581333493583,3.93,8.3468190557902,14.81997139282765,1.7372995259918866,0.020383840153235116,0.0,658464240.0
"Columbia Banking System, Inc.",COLB,2025_Q4,0.0,14.0,0.5,0.0,0.19642857142857142,12.087234042553192,1,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,57.91454081632653,3,1.0039942125110435,8.8,3.8757382494356745,12.184496057487733,0.4179784067839104,0.0008977707743103882,0.0,66821352.0
Discover Financial Services,DFS,2025_Q4,0.0,18.0,0.5,-10.0,0.5,15.440425531914894,1,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q1,62.7673469387755,4,2.8961003797334293,29.83,10.625083718747371,9.778639601069068,1.8682116071432449,0.011274480445589027,0.0,145412640.0
East West Bancorp Inc,EWBC,2025_Q4,2.0,10.0,0.5,2.0,0.375,12.536983729662078,1,2025_Q4,0.0,7.799999999999999,1.0,-1.7999999999999998,1.0,39.289743589743594,2,2025_Q4,72.53401360544218,4,1.7190640724487023,17.27,3.4660851916393747,10.232093436357093,0.3283318056010259,0.006060303513376182,4.329219001020909e-06,79661753.0
First Citizens Bancshares Inc,FCNCA,2025_Q4,0.0,64.0,0.5,0.0,0.484375,26.202127659574465,2,2025_Q4,0.9,26.299999999999997,2.75,-2.4,1.5,69.15,4,2025_Q4,30.880102040816325,2,1.001235921075863,10.2,3.3033113623751253,10.190902272687632,1.0488875740440666,0.014078582045601144,0.0011172292714069108,229332000.0
First Horizon Corp,FHN,2025_Q4,0.0,12.0,0.25,0.0,0.1875,8.170212765957448,1,2025_Q4,0.0,3.6,0.75,-1.7999999999999998,1.25,27.046153846153846,2,2025_Q4,57.92517006802721,3,1.347792016143313,12.18,3.5434351663781003,10.994517555261103,0.9642806433443957,0.00016663356448617578,0.0037392712885144417,83572753.0
Fifth Third Bancorp,FITB,2025_Q4,31.0,57.0,1.25,24.0,0.8432219662058371,50.11201501877348,3,2025_Q4,0.0,3.5999999999999996,0.75,-1.2,0.75,22.48974358974359,2,2025_Q4,51.877125850340136,3,1.3442002103144712,12.12,3.4373333276214018,11.53230711645534,0.8607274849251119,0.009857402622260503,0.0019886958342055683,213730000.0
"Flagstar Financial, Inc.",FLG,2025_Q4,0.0,17.0,0.25,0.0,0.20588235294117646,12.074468085106384,1,2025_Q4,0.0,2.0,0.25,0.0,0.25,13.879487179487178,1,2025_Q4,16.61777210884354,1,-0.13799811935140668,-1.52,2.0391596118582727,9.307135342904123,5.269838330309697,0.011114841849245043,4.540591830074928e-05,87511954.0
Fnb Corp,FNB,2025_Q4,7.0,146.0,1.5,-24.0,0.836304068914956,50.8168961201502,3,2025_Q4,0.0,3.8,0.75,0.0,0.25,25.03333333333333,2,2025_Q4,65.7610544217687,4,1.2858520865222585,9.84,3.3283529687599427,13.417267515349124,0.32735223632170346,5.761358423564305e-05,5.285751501719757e-05,50018001.0
Goldman Sachs Group Inc,GS,2025_Q4,28.0,158.0,1.5,6.0,0.7912912668726622,60.86608260325407,4,2025_Q4,0.6,8.6,1.0,-1.4,1.25,45.01410256410257,3,2025_Q4,41.50085034013605,3,1.421082970295999,13.43,2.0134082875446424,10.128884320392189,1.114248879612008,0.04353883664228492,0.0008241011350506355,644997000.0
Huntington Bancshares Inc,HBAN,2025_Q4,59.0,85.0,1.25,58.0,0.7859160613397902,57.82803504380476,3,2025_Q4,2.1,3.0,0.75,2.1,0.5,39.98717948717949,2,2025_Q4,45.737670068027214,3,1.1998613549659756,11.79,3.306611772900286,10.842824330515949,0.8071347645392613,0.01164415811227105,0.0010885933393726614,224047234.0
Jpmorgan Chase & Co,JPM,2025_Q4,99.0,382.0,1.5,31.0,0.8195432255377797,79.46495619524406,4,2025_Q4,3.0,11.6,1.25,2.4,1.0,76.95384615384614,4,2025_Q4,45.04676870748299,3,1.3448553188805723,15.32,2.9586399992549426,8.95193865048331,0.857501552598014,0.011286155171176345,0.0004246391618211554,3752662000.0
Keycorp,KEY,2025_Q4,128.0,199.0,1.0,64.0,0.5711495535714286,71.34530663329161,4,2025_Q4,4.0,7.0,1.25,3.0,1.0,70.35384615384615,4,2025_Q4,47.06845238095238,3,1.173893112802461,11.87,2.9694728290238537,10.497610142805875,0.7373973971105294,0.00826606388259404,2.4413785056142735e-05,181707510.0
Morgan Stanley,MS,2025_Q4,130.0,767.0,1.5,-150.0,0.7675339366515838,79.06145181476846,4,2025_Q4,6.0,12.6,2.0,5.0,1.5,92.6846153846154,5,2025_Q4,58.46301020408164,3,1.8621565238419804,18.47,1.9310785026504331,10.095205014446531,0.6174657399772254,0.019087523277467412,0.0,253348000.0
M&T Bank Corp,MTB,2025_Q4,75.0,86.0,0.75,75.0,0.5866666666666667,53.06545682102628,3,2025_Q4,2.0,2.0,0.25,2.0,0.25,29.398717948717948,2,2025_Q4,53.74574829931973,3,1.4017772070413985,10.49,3.8342433926543538,13.309018918412255,1.3832488024708414,0.010408359541599943,0.00025493524238031983,212887157.0
Northern Trust Corp,NTRS,2025_Q4,0.0,161.0,1.0,-84.0,0.6149891774891775,42.02340425531914,3,2025_Q4,0.0,1.0,0.25,0.0,0.25,11.315384615384616,1,2025_Q4,51.1734693877551,3,1.0184855941154014,15.34,1.562999997215155,6.469287984753379,0.24265595055015488,0.0013045474758676848,0.0,176396321.0
Old National Bancorp,ONB,2025_Q4,93.0,109.0,1.0,93.0,0.6274961597542242,60.10713391739675,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,37.561649659863946,2,1.164154127517348,10.2,3.6339160574679585,11.303495392129095,1.073263855864525,0.014273534395486695,0.032445821234325184,71771976.0
Prosperity Bancshares Inc,PB,2025_Q4,0.0,21.0,0.75,-7.0,0.6428571428571428,21.644680851063832,2,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,61.009778911564624,4,1.4367250899058512,7.55,3.2295159632933306,19.16269911072403,0.6307345970955409,0.0,0.031941172045802525,38458815.0
"Pnc Financial Services Group, Inc.",PNC,2025_Q4,111.0,256.0,1.75,60.0,0.8493605570811453,83.14831038798498,5,2025_Q4,3.4,11.0,2.5,2.8,1.5,83.47179487179487,5,2025_Q4,50.55484693877551,3,1.295406060461283,12.79,3.031410839520111,10.458756224680974,0.8867613743811911,0.006221055730823991,0.00020784741593016435,568338163.0
Pinnacle Financial Partners Inc,PNFP,2025_Q4,0.0,13.0,0.25,0.0,0.23076923076923078,9.72127659574468,1,2025_Q4,0.6,0.6,0.25,0.6,0.25,13.555128205128206,1,2025_Q4,63.24617346938776,4,1.2537159462038843,10.21,3.2133533953960085,12.023169999326473,0.34707330665366465,0.00017994713514021867,0.0,57636946.0
