ticker,bank_name,period_year,period_quarter,period_label,cert_x,risk_report_date,CERT,REPDTE,NAME,ASSET,DEP,NETINC,ROA,ROE,EQ,NIMY,NCLNLS,NCLNLSR,P3ASSET,P9ASSET,COREDEP,DEPDOM,DEPINS,DEPUNINS,LNLSNET,equity_assets_ratio,deposit_assets_ratio,core_deposit_ratio,cert_y,ffiec_institution_name,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate,quarterly_score,quarterly_rating
BAC,Bank Of America Corp,2024,3,2024_Q3,3510.0,20240930,3510.0,20240930,BANK OF AMERICA NA,2565878000.0,2017820000.0,20274000.0,1.0593310650076257,11.3,243688000.0,2.4970053623944977,8506000.0,0.7892990864507987,4690000.0,2313000.0,1755945000.0,1892511000.0,1178293000.0,791512000.0,1064437000.0,9.497255910062755,78.64052772579211,87.02188500460893,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1550000.0,337138000.0,0.004597523862631919,,80976000.0,,43.777777777777786,3
BAC,Bank Of America Corp,2024,4,2024_Q4,3510.0,20241231,3510.0,20241231,BANK OF AMERICA NA,2589060000.0,2055465000.0,27197000.0,1.06271482785911,11.31,245482000.0,2.498324032351471,8543000.0,0.7782969663454662,5798000.0,4044000.0,1793763000.0,1926068000.0,1186899000.0,821914000.0,1084434000.0,9.481510664102029,79.39039651456513,87.26799045471464,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1850000.0,295382000.0,0.00626307628765463,36000.0,157982000.0,0.00022787406160195466,39.98520408163265,2
BAC,Bank Of America Corp,2025,1,2025_Q1,3510.0,20250331,3510.0,20250331,BANK OF AMERICA NA,2615296000.0,2071624000.0,7133000.0,1.0964661141551424,11.59,246924000.0,2.4584544391158842,8411000.0,0.7586814043227972,5682000.0,3193000.0,1811544000.0,1942170000.0,1198245000.0,822178000.0,1095391000.0,9.441531666014095,79.21183682458887,87.44559823597332,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1736000.0,296731000.0,0.005850416707388173,33000.0,164426000.0,0.00020069818641820636,42.0452380952381,3
BAC,Bank Of America Corp,2025,2,2025_Q2,3510.0,20250630,3510.0,20250630,BANK OF AMERICA NA,2665555000.0,2109261000.0,14550000.0,1.1092882753057818,11.75,250540000.0,2.4629170373027565,8087000.0,0.7075729643606163,4994000.0,2214000.0,1842513000.0,1975044000.0,1171392000.0,878711000.0,1129643000.0,9.399168278276006,79.13027493336284,87.35348541503399,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1643000.0,307142000.0,0.005349317253908616,41000.0,179585000.0,0.00022830414566918172,44.19642857142857,3
BAC,Bank Of America Corp,2025,3,2025_Q3,3510.0,20250930,3510.0,20250930,BANK OF AMERICA NA,2651090000.0,2094732000.0,22536000.0,1.1423722438577848,12.09,251567000.0,2.478776867134404,7847000.0,0.675627389815565,4928000.0,3021000.0,1827174000.0,1956667000.0,1162629000.0,869263000.0,1148203000.0,9.489191238320842,79.01399047184366,87.22710112797246,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1677000.0,307017000.0,0.005462238247393467,24000.0,190584000.0,0.0001259287243420224,45.042517006802726,3
BAC,Bank Of America Corp,2025,4,2025_Q4,3510.0,20251231,3510.0,20251231,BANK OF AMERICA NA,2636823000.0,2101968000.0,30380000.0,1.1544462063028051,12.24,246250000.0,2.503407554197315,8326000.0,0.7055495719332618,5412000.0,2773000.0,1836995000.0,1961689000.0,1172090000.0,862444000.0,1166885000.0,9.338890020300946,79.71593087590635,87.39405166967337,3510.0,"BANK OF AMERICA, NATIONAL ASSOCIATION",1643000.0,307488000.0,0.005343297949838693,53000.0,193593000.0,0.0002737702292954807,44.538690476190474,3
BK,Bank of New York Mellon Corp,2024,1,2024_Q1,639.0,20240331,639.0,20240331,BANK OF NEW YORK MELLON,357477000.0,312760000.0,664000.0,0.7698483781300453,9.64,27470000.0,1.3021031360170334,261000.0,0.6472572165459776,472000.0,0.0,209156000.0,212250000.0,15061000.0,208403000.0,40019000.0,7.684410465568414,87.49094347328639,66.87428059854201,639.0,"BANK OF NEW YORK MELLON, THE",0.0,1911000.0,0.0,,5672000.0,,41.83333333333333,3
BK,Bank of New York Mellon Corp,2024,2,2024_Q2,639.0,20240630,639.0,20240630,BANK OF NEW YORK MELLON,351806000.0,305747000.0,1591000.0,0.9162881594759898,11.55,27562000.0,1.2878596479207973,213000.0,0.5824924111904175,13000.0,0.0,198565000.0,202091000.0,15573000.0,197854000.0,36301000.0,7.834431476438719,86.90784125341807,64.94421858595504,639.0,"BANK OF NEW YORK MELLON, THE",0.0,1776000.0,0.0,,5636000.0,,48.722222222222214,3
BK,Bank of New York Mellon Corp,2024,3,2024_Q3,639.0,20240930,639.0,20240930,BANK OF NEW YORK MELLON,348079000.0,299978000.0,2561000.0,0.9826903836344001,12.28,28578000.0,1.3160215993432567,198000.0,0.5452292441140025,30000.0,0.0,191634000.0,195220000.0,15152000.0,192264000.0,36040000.0,8.210205154576979,86.18101063264373,63.88268473021355,639.0,"BANK OF NEW YORK MELLON, THE",0.0,1552000.0,0.0,,6326000.0,,50.94444444444444,3
BK,Bank of New York Mellon Corp,2024,4,2024_Q4,639.0,20241231,639.0,20241231,BANK OF NEW YORK MELLON,335955000.0,291378000.0,3488000.0,1.0105188991370029,12.53,27960000.0,1.3830537879425417,168000.0,0.4530255635853737,7000.0,0.0,188711000.0,194168000.0,16650000.0,189813000.0,36812000.0,8.322543197749699,86.73125865071215,64.76501314443782,639.0,"BANK OF NEW YORK MELLON, THE",0.0,1358000.0,0.0,0.0,6797000.0,0.0,53.7077380952381,3
