ticker,bank_name,period_year,period_quarter,period_label,weighted_hits,matched_chunks,matched_docs,family_breadth,source_breadth,asset_based_lending,direct_lending,fund_finance,private_capital,private_credit,private_debt,sponsor_finance,quarterly_score,quarterly_rating
C,Citigroup Inc,2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
C,Citigroup Inc,2025,2,2025_Q2,6.0,4.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,79.10714285714286,4
C,Citigroup Inc,2025,3,2025_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
C,Citigroup Inc,2025,4,2025_Q4,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.519230769230774,3
CFG,Citizens Financial Group Inc/Ri,2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFG,Citizens Financial Group Inc/Ri,2024,2,2024_Q2,2.7,3.0,2.0,2.0,1.0,0.0,0.0,0.9,1.7999999999999998,0.0,0.0,0.0,67.1875,4
CFG,Citizens Financial Group Inc/Ri,2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFG,Citizens Financial Group Inc/Ri,2024,4,2024_Q4,4.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,66.25,4
CFG,Citizens Financial Group Inc/Ri,2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFG,Citizens Financial Group Inc/Ri,2025,2,2025_Q2,12.5,14.0,10.0,3.0,2.0,0.0,0.0,4.5,3.0,5.0,0.0,0.0,92.94642857142857,5
CFG,Citizens Financial Group Inc/Ri,2025,3,2025_Q3,10.1,10.0,8.0,3.0,2.0,0.0,0.0,4.5,0.6,5.0,0.0,0.0,88.83928571428572,5
CFG,Citizens Financial Group Inc/Ri,2025,4,2025_Q4,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,65.57692307692308,4
CFR,"Cullen/Frost Bankers, Inc.",2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFR,"Cullen/Frost Bankers, Inc.",2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFR,"Cullen/Frost Bankers, Inc.",2024,3,2024_Q3,6.2,4.0,2.0,3.0,1.0,0.6,0.0,3.6,0.0,2.0,0.0,0.0,86.9,5
CFR,"Cullen/Frost Bankers, Inc.",2024,4,2024_Q4,2.2,3.0,2.0,2.0,2.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,62.5,4
CFR,"Cullen/Frost Bankers, Inc.",2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFR,"Cullen/Frost Bankers, Inc.",2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CFR,"Cullen/Frost Bankers, Inc.",2025,3,2025_Q3,6.2,4.0,2.0,3.0,1.0,0.6,0.0,3.6,0.0,2.0,0.0,0.0,74.91071428571429,4
CFR,"Cullen/Frost Bankers, Inc.",2025,4,2025_Q4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.42307692307693,2
CMA,Comerica Inc,2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2024,4,2024_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2025,3,2025_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CMA,Comerica Inc,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2024,4,2024_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COF,Capital One Financial Corp,2025,3,2025_Q3,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,49.375,3
COF,Capital One Financial Corp,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COLB,"Columbia Banking System, Inc.",2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COLB,"Columbia Banking System, Inc.",2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COLB,"Columbia Banking System, Inc.",2024,3,2024_Q3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.700000000000003,2
