ticker,bank_name,cert,period_year,period_quarter,period_label,risk_report_date,CERT,REPDTE,NAME,ASSET,DEP,NETINC,ROA,ROE,EQ,NIMY,NCLNLS,NCLNLSR,P3ASSET,P9ASSET,COREDEP,DEPDOM,DEPINS,DEPUNINS,LNLSNET,equity_assets_ratio,deposit_assets_ratio,core_deposit_ratio
FCNCA,First Citizens Bancshares Inc,11063,2025,2,2025_Q2,20250630,11063,20250630,FIRST-CITIZENS BANK&TRUST CO,229412000,160302000,1095000,0.9639268354590096,9.86,22677000,3.2704774549879363,1479000,1.0457026499618203,593000,141000,151589000,160302000,101720000,59101000,139765000,9.884836015552805,69.87515910240091,94.56463425284774
FCNCA,First Citizens Bancshares Inc,11063,2025,3,2025_Q3,20250930,11063,20250930,FIRST-CITIZENS BANK&TRUST CO,233167000,163582000,1673000,0.9753926848092491,10.03,22326000,3.2856365341384746,1615000,1.1148156585005558,690000,211000,154787000,163581000,102309000,61734000,143216000,9.575111400841458,70.156583049917,94.62349158220343
FCNCA,First Citizens Bancshares Inc,11063,2025,4,2025_Q4,20251231,11063,20251231,FIRST-CITIZENS BANK&TRUST CO,229332000,162082000,2291000,1.001235921075863,10.2,23371000,3.3033113623751253,1560000,1.0488875740440666,919000,244000,152871000,162081000,100760000,61809000,147163000,10.190902272687632,70.67570160291629,94.31707407361706
FHN,First Horizon Corp,4977,2024,1,2024_Q1,20240331,4977,20240331,FIRST HORIZON BANK,81504034,66653093,225159,1.1059466243185203,10.15,8788756,3.4159008012921004,527847,0.849214370484516,132149,20065,61841376,66653093,40199189,27391106,61370302,10.783215957139005,81.7788883921991,92.78095466627482
FHN,First Horizon Corp,4977,2024,2,2024_Q2,20240630,4977,20240630,FIRST HORIZON BANK,81935084,65403394,451071,1.1055363838908312,10.18,8849761,3.4198640225304637,593028,0.9374695890055469,102047,15647,60213030,65403394,39742429,26800519,62437419,10.800942121448243,79.82342948473696,92.0640754514972
FHN,First Horizon Corp,4977,2024,3,2024_Q3,20240930,4977,20240930,FIRST HORIZON BANK,82362542,67395008,697244,1.136580825491612,10.44,9032696,3.407374827984641,606006,0.9627359885212504,82033,24963,60983594,67395008,41667589,26271022,62123442,10.966995166322087,81.82725589018366,90.48681172350332
FHN,First Horizon Corp,4977,2024,4,2024_Q4,20241231,4977,20241231,FIRST HORIZON BANK,81865694,66433430,890694,1.0887752437455613,10.03,8781595,3.4099276487830723,631383,1.0001582174413282,95899,26258,60648079,66433430,40220056,26678666,62312844,10.72683143686536,81.14929069067685,91.29150639971472
FHN,First Horizon Corp,4977,2025,1,2025_Q1,20250331,4977,20250331,FIRST HORIZON BANK,81201651,65207996,250026,1.226614684871456,11.21,9057507,3.4372972974851583,624270,0.9950998818734333,102792,11503,60602259,65207996,38945799,26738078,61912114,11.154338475211546,80.30378101548699,92.93685240687354
FHN,First Horizon Corp,4977,2025,2,2025_Q2,20250630,4977,20250630,FIRST HORIZON BANK,81784169,66325396,520547,1.2755820656269254,11.57,9165820,3.4702582539593485,610418,0.9587221954417559,118565,8895,60147966,66325396,39931478,26878424,62855555,11.207327912080393,81.09808635458532,90.68617698113705
FHN,First Horizon Corp,4977,2025,3,2025_Q3,20250930,4977,20250930,FIRST HORIZON BANK,82886598,66111897,813950,1.3245203963340093,11.95,9317818,3.52394046320176,623128,0.9803111365530616,113075,8791,60252505,66111897,39064057,27224714,62787391,11.241646086138076,79.76186572405831,91.13715947373284
