ticker,bank_name,period_year,period_quarter,period_label,score,rating,workstream
FCNCA,First Citizens Bancshares Inc,2024,1,2024_Q1,0.0,1,ai_activity
FCNCA,First Citizens Bancshares Inc,2024,2,2024_Q2,0.0,1,ai_activity
FCNCA,First Citizens Bancshares Inc,2024,3,2024_Q3,0.0,1,ai_activity
FCNCA,First Citizens Bancshares Inc,2024,4,2024_Q4,43.35,3,ai_activity
FCNCA,First Citizens Bancshares Inc,2025,1,2025_Q1,0.0,1,ai_activity
FCNCA,First Citizens Bancshares Inc,2025,2,2025_Q2,58.39285714285715,3,ai_activity
FCNCA,First Citizens Bancshares Inc,2025,3,2025_Q3,51.17647058823529,3,ai_activity
FCNCA,First Citizens Bancshares Inc,2025,4,2025_Q4,0.0,1,ai_activity
FHN,First Horizon Corp,2024,1,2024_Q1,0.0,1,ai_activity
FHN,First Horizon Corp,2024,2,2024_Q2,57.91615853658537,3,ai_activity
FHN,First Horizon Corp,2024,3,2024_Q3,0.0,1,ai_activity
FHN,First Horizon Corp,2024,4,2024_Q4,26.900000000000006,2,ai_activity
FHN,First Horizon Corp,2025,1,2025_Q1,0.0,1,ai_activity
FHN,First Horizon Corp,2025,2,2025_Q2,28.154761904761905,2,ai_activity
FHN,First Horizon Corp,2025,3,2025_Q3,0.0,1,ai_activity
FHN,First Horizon Corp,2025,4,2025_Q4,0.0,1,ai_activity
FITB,Fifth Third Bancorp,2024,1,2024_Q1,0.0,1,ai_activity
FITB,Fifth Third Bancorp,2024,2,2024_Q2,0.0,1,ai_activity
FITB,Fifth Third Bancorp,2024,3,2024_Q3,20.0,1,ai_activity
FITB,Fifth Third Bancorp,2024,4,2024_Q4,93.50000000000001,5,ai_activity
FITB,Fifth Third Bancorp,2025,1,2025_Q1,20.462962962962962,2,ai_activity
FITB,Fifth Third Bancorp,2025,2,2025_Q2,39.047619047619044,2,ai_activity
FITB,Fifth Third Bancorp,2025,3,2025_Q3,27.205882352941178,2,ai_activity
FITB,Fifth Third Bancorp,2025,4,2025_Q4,36.25,2,ai_activity
FLG,"Flagstar Financial, Inc.",2024,1,2024_Q1,79.58333333333333,4,ai_activity
FLG,"Flagstar Financial, Inc.",2024,2,2024_Q2,92.42073170731707,5,ai_activity
FLG,"Flagstar Financial, Inc.",2024,3,2024_Q3,0.0,1,ai_activity
FLG,"Flagstar Financial, Inc.",2024,4,2024_Q4,25.25,2,ai_activity
FLG,"Flagstar Financial, Inc.",2025,1,2025_Q1,0.0,1,ai_activity
FLG,"Flagstar Financial, Inc.",2025,2,2025_Q2,0.0,1,ai_activity
FLG,"Flagstar Financial, Inc.",2025,3,2025_Q3,39.705882352941174,2,ai_activity
FLG,"Flagstar Financial, Inc.",2025,4,2025_Q4,0.0,1,ai_activity
FNB,Fnb Corp,2024,1,2024_Q1,22.083333333333336,2,ai_activity
FNB,Fnb Corp,2024,2,2024_Q2,58.25914634146342,3,ai_activity
FNB,Fnb Corp,2024,3,2024_Q3,51.11111111111111,3,ai_activity
FNB,Fnb Corp,2024,4,2024_Q4,32.7,2,ai_activity
FNB,Fnb Corp,2025,1,2025_Q1,54.629629629629626,3,ai_activity
FNB,Fnb Corp,2025,2,2025_Q2,75.11904761904762,4,ai_activity
FNB,Fnb Corp,2025,3,2025_Q3,82.20588235294116,5,ai_activity
FNB,Fnb Corp,2025,4,2025_Q4,17.647058823529413,1,ai_activity
GS,Goldman Sachs Group Inc,2024,1,2024_Q1,46.35416666666667,3,ai_activity
GS,Goldman Sachs Group Inc,2024,2,2024_Q2,39.89786585365854,2,ai_activity
GS,Goldman Sachs Group Inc,2024,3,2024_Q3,56.481481481481474,3,ai_activity
GS,Goldman Sachs Group Inc,2024,4,2024_Q4,84.55000000000001,5,ai_activity
GS,Goldman Sachs Group Inc,2025,1,2025_Q1,46.01851851851852,3,ai_activity
GS,Goldman Sachs Group Inc,2025,2,2025_Q2,80.5952380952381,5,ai_activity
GS,Goldman Sachs Group Inc,2025,3,2025_Q3,70.44117647058825,4,ai_activity
GS,Goldman Sachs Group Inc,2025,4,2025_Q4,35.0,2,ai_activity
HBAN,Huntington Bancshares Inc,2024,1,2024_Q1,0.0,1,ai_activity
HBAN,Huntington Bancshares Inc,2024,2,2024_Q2,40.46036585365854,3,ai_activity
HBAN,Huntington Bancshares Inc,2024,3,2024_Q3,0.0,1,ai_activity
HBAN,Huntington Bancshares Inc,2024,4,2024_Q4,36.35,2,ai_activity
HBAN,Huntington Bancshares Inc,2025,1,2025_Q1,10.74074074074074,1,ai_activity
HBAN,Huntington Bancshares Inc,2025,2,2025_Q2,41.13095238095239,3,ai_activity
HBAN,Huntington Bancshares Inc,2025,3,2025_Q3,25.88235294117647,2,ai_activity
HBAN,Huntington Bancshares Inc,2025,4,2025_Q4,59.70588235294118,3,ai_activity
JPM,Jpmorgan Chase & Co,2024,1,2024_Q1,0.0,1,ai_activity
JPM,Jpmorgan Chase & Co,2024,2,2024_Q2,70.14939024390243,4,ai_activity
JPM,Jpmorgan Chase & Co,2024,3,2024_Q3,54.62962962962963,3,ai_activity
JPM,Jpmorgan Chase & Co,2024,4,2024_Q4,49.45,3,ai_activity
JPM,Jpmorgan Chase & Co,2025,1,2025_Q1,73.51851851851852,4,ai_activity
JPM,Jpmorgan Chase & Co,2025,2,2025_Q2,93.57142857142857,5,ai_activity
JPM,Jpmorgan Chase & Co,2025,3,2025_Q3,77.3529411764706,4,ai_activity
JPM,Jpmorgan Chase & Co,2025,4,2025_Q4,70.0,4,ai_activity
KEY,Keycorp,2024,1,2024_Q1,0.0,1,ai_activity
KEY,Keycorp,2024,2,2024_Q2,0.0,1,ai_activity
KEY,Keycorp,2024,3,2024_Q3,0.0,1,ai_activity
KEY,Keycorp,2024,4,2024_Q4,31.85,2,ai_activity
KEY,Keycorp,2025,1,2025_Q1,67.31481481481482,4,ai_activity
KEY,Keycorp,2025,2,2025_Q2,15.357142857142858,1,ai_activity
KEY,Keycorp,2025,3,2025_Q3,0.0,1,ai_activity
KEY,Keycorp,2025,4,2025_Q4,77.5,4,ai_activity
MS,Morgan Stanley,2024,1,2024_Q1,86.25,5,ai_activity
MS,Morgan Stanley,2024,2,2024_Q2,94.38109756097562,5,ai_activity
MS,Morgan Stanley,2024,3,2024_Q3,88.14814814814815,5,ai_activity
MS,Morgan Stanley,2024,4,2024_Q4,94.5,5,ai_activity
MS,Morgan Stanley,2025,1,2025_Q1,84.81481481481481,5,ai_activity
MS,Morgan Stanley,2025,2,2025_Q2,49.583333333333336,3,ai_activity
MS,Morgan Stanley,2025,3,2025_Q3,86.76470588235294,5,ai_activity
MS,Morgan Stanley,2025,4,2025_Q4,79.85294117647058,4,ai_activity
MTB,M&T Bank Corp,2024,1,2024_Q1,0.0,1,ai_activity
MTB,M&T Bank Corp,2024,2,2024_Q2,27.76067073170732,2,ai_activity
MTB,M&T Bank Corp,2024,3,2024_Q3,0.0,1,ai_activity
MTB,M&T Bank Corp,2024,4,2024_Q4,56.65,3,ai_activity
MTB,M&T Bank Corp,2025,1,2025_Q1,0.0,1,ai_activity
MTB,M&T Bank Corp,2025,2,2025_Q2,23.80952380952381,2,ai_activity
MTB,M&T Bank Corp,2025,3,2025_Q3,9.11764705882353,1,ai_activity
MTB,M&T Bank Corp,2025,4,2025_Q4,52.941176470588246,3,ai_activity
NTRS,Northern Trust Corp,2024,1,2024_Q1,72.91666666666666,4,ai_activity
NTRS,Northern Trust Corp,2024,2,2024_Q2,65.19512195121952,4,ai_activity
NTRS,Northern Trust Corp,2024,3,2024_Q3,88.14814814814815,5,ai_activity
NTRS,Northern Trust Corp,2024,4,2024_Q4,86.80000000000001,5,ai_activity
NTRS,Northern Trust Corp,2025,1,2025_Q1,78.88888888888889,4,ai_activity
NTRS,Northern Trust Corp,2025,2,2025_Q2,75.65476190476191,4,ai_activity
NTRS,Northern Trust Corp,2025,3,2025_Q3,52.941176470588246,3,ai_activity
NTRS,Northern Trust Corp,2025,4,2025_Q4,0.0,1,ai_activity
ONB,Old National Bancorp,2024,1,2024_Q1,0.0,1,ai_activity
ONB,Old National Bancorp,2024,2,2024_Q2,0.0,1,ai_activity
ONB,Old National Bancorp,2024,3,2024_Q3,20.0,1,ai_activity
ONB,Old National Bancorp,2024,4,2024_Q4,10.4,1,ai_activity
ONB,Old National Bancorp,2025,1,2025_Q1,0.0,1,ai_activity
ONB,Old National Bancorp,2025,2,2025_Q2,7.55952380952381,1,ai_activity
ONB,Old National Bancorp,2025,3,2025_Q3,36.1764705882353,2,ai_activity
ONB,Old National Bancorp,2025,4,2025_Q4,65.73529411764706,4,ai_activity
PB,Prosperity Bancshares Inc,2024,1,2024_Q1,0.0,1,ai_activity
PB,Prosperity Bancshares Inc,2024,2,2024_Q2,0.0,1,ai_activity
PB,Prosperity Bancshares Inc,2024,3,2024_Q3,0.0,1,ai_activity
PB,Prosperity Bancshares Inc,2024,4,2024_Q4,38.55,2,ai_activity
PB,Prosperity Bancshares Inc,2025,1,2025_Q1,20.462962962962962,2,ai_activity
PB,Prosperity Bancshares Inc,2025,2,2025_Q2,16.071428571428573,1,ai_activity
PB,Prosperity Bancshares Inc,2025,3,2025_Q3,27.205882352941178,2,ai_activity
PB,Prosperity Bancshares Inc,2025,4,2025_Q4,0.0,1,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2024,1,2024_Q1,76.25000000000001,4,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2024,2,2024_Q2,48.71951219512196,3,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2024,3,2024_Q3,80.74074074074073,5,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2024,4,2024_Q4,46.4,3,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2025,1,2025_Q1,64.07407407407408,4,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2025,2,2025_Q2,60.00000000000001,4,ai_activity
PNC,"Pnc Financial Services Group, Inc.",2025,3,2025_Q3,85.00000000000001,5,ai_activity
