ticker,bank_name,cert,ffiec_institution_name,period_year,period_quarter,period_label,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2025,3,2025_Q3,263849.0,33991348.0,0.007762239967652945,14129.0,18205204.0,0.000776096768814016
KEY,Keycorp,17534,KEYBANK NATIONAL ASSOCIATION,2025,4,2025_Q4,286857.0,34702974.0,0.00826606388259404,449.0,18391249.0,2.4413785056142735e-05
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2024,1,2024_Q1,76000.0,7353000.0,0.0103359173126615,,44112000.0,
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2024,2,2024_Q2,0.0,6393000.0,0.0,,51142000.0,
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2024,3,2024_Q3,155000.0,5942000.0,0.026085493099966342,,51150000.0,
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2024,4,2024_Q4,0.0,4309000.0,0.0,0.0,53675000.0,0.0
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2025,1,2025_Q1,0.0,7652000.0,0.0,0.0,58108000.0,0.0
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2025,2,2025_Q2,40000.0,3608000.0,0.011086474501108648,0.0,64030000.0,0.0
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2025,3,2025_Q3,60000.0,4705000.0,0.012752391073326248,0.0,68423000.0,0.0
MS,Morgan Stanley,32992,"MORGAN STANLEY BANK, N.A.",2025,4,2025_Q4,82000.0,4296000.0,0.019087523277467412,0.0,75824000.0,0.0
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2024,1,2024_Q1,605496.0,32221966.0,0.018791404596479308,,8866475.0,
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2024,2,2024_Q2,548778.0,32863060.0,0.01669893187061704,,9497815.0,
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2024,3,2024_Q3,533395.0,33477401.0,0.015932987151541424,,9596708.0,
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2024,4,2024_Q4,476391.0,33139320.0,0.014375400581544823,9240.0,10273779.0,0.0008993769478592054
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2025,1,2025_Q1,444884.0,32811648.0,0.013558721585700298,9451.0,9920265.0,0.0009526963241405346
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2025,2,2025_Q2,554291.0,32793927.0,0.016902245345609263,4224.0,10856003.0,0.0003890934812748302
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2025,3,2025_Q3,537396.0,32700600.0,0.016433826902258673,3308.0,11313780.0,0.0002923868061779529
MTB,M&T Bank Corp,588,MANUFACTURERS AND TRADERS TRUST COMPANY,2025,4,2025_Q4,343672.0,33018844.0,0.010408359541599943,3196.0,12536517.0,0.00025493524238031983
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2024,1,2024_Q1,348.0,4659481.0,7.468642966888372e-05,,210080.0,
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2024,2,2024_Q2,5776.0,4804639.0,0.0012021714846838648,,162976.0,
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2024,3,2024_Q3,5873.0,4928206.0,0.0011917115477721508,,122406.0,
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2024,4,2024_Q4,346.0,4225047.0,8.189258012987785e-05,0.0,6746113.0,0.0
